aids_diag_apids,cityfip,year
105,3240,1995
450,3283,1995
135,3320,1995
1562,3360,1995
305,3480,1995
355,3600,1995
588,3640,1995
298,3760,1995
68,3840,1995
413,4120,1995
87,4400,1995
3420,4480,1995
176,4520,1995
31,4880,1995
278,4920,1995
2128,5000,1995
289,5015,1995
201,5080,1995
304,5120,1995
102,5160,1995
299,5190,1995
297,5360,1995
648,5380,1995
627,5483,1995
535,5560,1995
10712,5600,1995
1477,5640,1995
405,5720,1995
628,5775,1995
131,5880,1995
64,5920,1995
499,5945,1995
559,5960,1995
1776,6160,1995
518,6200,1995
220,6280,1995
364,6440,1995
166,6483,1995
158,6640,1995
265,6760,1995
538,6780,1995
271,6840,1995
242,6920,1995
384,7040,1995
136,7160,1995
335,7240,1995
944,7320,1995
1842,7360,1995
254,7400,1995
1287,7440,1995
124,7510,1995
45,7560,1995
565,7600,1995
196,8003,1995
64,8120,1995
126,8160,1995
65,8200,1995
787,8280,1995
50,8400,1995
117,8520,1995
96,8560,1995
137,8720,1995
80,8735,1995
2056,8840,1995
702,8960,1995
69,9040,1995
228,9160,1995
29,9320,1995
45,0080,1996
148,0160,1996
82,0200,1996
72,0240,1996
27,0440,1996
1377,0520,1996
289,0640,1996
98,0680,1996
1392,0720,1996
232,0760,1996
434,0875,1996
191,1000,1996
1004,1123,1996
182,1280,1996
116,1440,1996
171,1520,1996
1786,1600,1996
186,1640,1996
270,1680,1996
42,1720,1996
183,1760,1996
172,1840,1996
969,1920,1996
76,2000,1996
91,2020,1996
351,2080,1996
594,2160,1996
127,2320,1996
1117,2680,1996
34,2760,1996
251,2800,1996
118,2840,1996
66,2960,1996
55,3000,1996
109,3120,1996
127,3160,1996
93,3240,1996
394,3283,1996
111,3320,1996
1646,3360,1996
233,3480,1996
333,3600,1996
495,3640,1996
231,3760,1996
62,3840,1996
378,4120,1996
87,4400,1996
2694,4480,1996
176,4520,1996
32,4880,1996
308,4920,1996
1924,5000,1996
263,5015,1996
145,5080,1996
238,5120,1996
86,5160,1996
201,5190,1996
293,5360,1996
482,5380,1996
608,5483,1996
625,5560,1996
8852,5600,1996
1306,5640,1996
412,5720,1996
544,5775,1996
135,5880,1996
63,5920,1996
392,5945,1996
532,5960,1996
1569,6160,1996
375,6200,1996
189,6280,1996
302,6440,1996
119,6483,1996
171,6640,1996
235,6760,1996
503,6780,1996
199,6840,1996
216,6920,1996
413,7040,1996
141,7160,1996
401,7240,1996
767,7320,1996
1241,7360,1996
194,7400,1996
1273,7440,1996
110,7510,1996
38,7560,1996
465,7600,1996
134,8003,1996
50,8120,1996
120,8160,1996
69,8200,1996
686,8280,1996
52,8400,1996
137,8520,1996
98,8560,1996
99,8720,1996
70,8735,1996
1905,8840,1996
731,8960,1996
