locationcode,aids_prev_all1988,aids_prev_all1989,aids_prev_all1990,aids_prev_all1991,aids_prev_all1992,aids_prev_all1993,aids_prev_all1994,aids_prev_all1995,aids_prev_all1996,aids_prev_all1997,aids_prev_all1998,aids_prev_all1999,aids_prev_all2000,aids_prev_all2001,aids_prev_all2002,aids_prev_all2003,aids_prev_all2004,aids_prev_all2005,aids_prev_all2006,aids_prev_all2007,aids_prev_all2008,aids_prev_all2009,aids_prev_all2010,aids_prev_all2011,aids_prev_all2012,aids_prev_all2013,aids_prev_all2014,aids_prev_all2015,aids_prev_all2016,aids_prev_all2017,aids_prev_all2018
1600,1270,1634,2191,2873,3704,4679,5384,5786,6327,7057,7530,8142,8782,9457,10191,10823,11400,12037,12551,12965,13516,14046,7826,12113,13640,14014,14194,14334,14430,14377,14328
1640,147,191,237,321,440,560,602,595,650,724,759,806,849,912,966,1038,1110,1179,1252,1301,1390,1499,1597,1642,1671,1721,1755,1882,1990,2070,2111
1680,174,234,305,422,578,764,876,903,967,1081,1179,1256,1362,1444,1527,1640,1737,1821,1892,1960,2023,2099,2124,2159,2184,2258,2303,2366,2486,2561,2614
1720,30,51,53,56,62,95,120,122,140,143,157,172,186,190,204,218,224,233,244,250,263,270,265,289,304,325,332,362,365,385,412
1760,56,99,148,210,333,422,474,536,612,699,850,945,1064,1171,1317,1410,1521,1618,1725,1824,1938,2005,373,2217,712,879,1550,2065,2099,2199,2296
1840,162,215,266,373,466,558,556,530,536,594,652,710,787,852,919,1056,1155,1226,1323,1411,1508,1638,1894,2032,2158,2266,2340,2395,2490,2515,2546
1920,772,1065,1387,1750,2290,2653,2997,3252,3596,3975,4303,4599,4854,5240,5578,5992,6411,6784,7150,7460,7865,8244,8426,8969,9295,9630,9855,10151,10408,10581,10842
2000,58,90,104,124,165,196,217,225,246,255,279,304,334,350,387,438,475,512,541,587,621,640,695,696,701,712,724,751,812,815,821
2020,74,99,130,158,200,251,265,277,299,341,365,422,477,517,572,588,622,639,685,717,751,784,799,820,921,967,1013,1035,1062,1092,1111
2080,422,632,820,1037,1251,1444,1530,1563,1653,1803,1923,2037,2181,2280,2390,2519,2629,2777,2916,3066,3242,3375,3347,3466,3564,3588,3628,3700,3908,3875,3951
2160,371,578,816,1120,1534,1743,1874,1983,2142,2359,2558,2721,2943,3099,3263,3462,3661,3922,4123,4301,4468,4627,4035,4291,4440,4663,5014,4995,5070,4923,5125
2320,33,44,73,95,136,191,212,267,322,376,435,494,553,618,659,701,733,771,808,866,904,935,965,988,1035,1119,1143,1135,1134,1147,1142
2680,606,845,1141,1486,1869,2413,2778,3018,3461,3915,4378,4774,5121,5410,5647,5946,6384,6741,7015,7330,7776,8130,8461,8718,9240,9467,9807,10000,9999,10060,10126
2800,200,311,403,500,645,813,906,956,1029,1146,1211,1279,1341,1384,1459,1560,1629,1731,1814,1893,1985,2082,2252,2314,2581,2720,2731,2835,2915,3010,3102
2840,40,63,81,100,143,226,236,271,315,355,384,422,448,481,533,554,565,601,636,678,729,804,808,836,919,948,957,951,1005,1037,1052
3000,27,42,71,102,144,160,165,179,183,194,199,212,240,268,287,314,341,378,413,440,465,497,556,579,572,588,572,567,595,588,604
3120,31,45,81,119,166,185,223,199,196,228,277,311,347,380,432,465,487,513,544,586,625,666,765,823,848,838,887,946,955,993,1006
3160,26,55,75,117,149,214,262,283,294,335,384,434,490,510,517,572,624,669,710,735,769,806,250,1023,299,288,338,1029,1059,1070,1115
